,target,shape,surface,color
1607,edible,convex,fibrous,brown
1608,edible,convex,smooth,brown
1609,edible,convex,fibrous,brown
1610,edible,flat,smooth,white
1611,edible,convex,fibrous,brown
1612,poisonous,flat,smooth,white
1613,poisonous,flat,smooth,brown
1614,edible,convex,fibrous,brown
1615,edible,convex,smooth,white
1616,edible,flat,fibrous,gray
1617,edible,convex,smooth,brown
1618,edible,convex,fibrous,brown
1619,edible,convex,smooth,gray
1620,edible,flat,fibrous,gray
1621,edible,flat,smooth,brown
1622,edible,flat,smooth,gray
1623,edible,convex,fibrous,red
1624,poisonous,flat,scaly,white
1625,edible,convex,fibrous,brown
1626,edible,convex,fibrous,brown
1627,poisonous,flat,smooth,brown
1628,poisonous,flat,smooth,white
1629,poisonous,flat,smooth,white
1630,edible,flat,fibrous,white
1631,edible,flat,smooth,brown
1632,edible,flat,fibrous,brown
1633,edible,convex,smooth,brown
1634,edible,flat,smooth,brown
1635,poisonous,flat,smooth,white
1636,poisonous,flat,smooth,white
1637,edible,flat,smooth,gray
1638,edible,convex,smooth,brown
1639,edible,convex,smooth,brown
1640,edible,convex,fibrous,brown
1641,edible,convex,fibrous,brown
1642,edible,flat,fibrous,white
1643,edible,flat,fibrous,white
1644,edible,convex,fibrous,white
1645,edible,convex,smooth,yellow
1646,edible,flat,smooth,gray
1647,edible,convex,smooth,white
1648,edible,convex,fibrous,brown
1649,edible,convex,fibrous,brown
1650,edible,convex,smooth,white
1651,edible,convex,smooth,brown
1652,edible,convex,smooth,gray
1653,edible,convex,smooth,gray
1654,edible,flat,smooth,white
1655,edible,convex,smooth,brown
1656,edible,flat,fibrous,gray
1657,edible,flat,fibrous,white
1658,edible,convex,fibrous,white
1659,edible,flat,fibrous,gray
1660,edible,convex,fibrous,gray
1661,edible,convex,scaly,yellow
1662,edible,convex,smooth,yellow
1663,edible,convex,smooth,white
1664,poisonous,convex,scaly,brown
1665,edible,convex,fibrous,white
1666,poisonous,convex,smooth,white
1667,edible,convex,scaly,gray
1668,poisonous,flat,smooth,white
1669,edible,convex,scaly,yellow
1670,edible,convex,scaly,white
1671,edible,flat,scaly,brown
1672,edible,convex,smooth,white
1673,edible,flat,smooth,brown
1674,edible,convex,smooth,gray
1675,edible,convex,smooth,white
1676,edible,flat,smooth,brown
1677,edible,flat,smooth,brown
1678,edible,convex,smooth,gray
1679,edible,bell,smooth,white
1680,edible,convex,smooth,gray
1681,edible,convex,smooth,yellow
1682,poisonous,flat,scaly,white
1683,edible,flat,smooth,white
1684,edible,flat,smooth,brown
1685,edible,flat,smooth,gray
1686,edible,flat,fibrous,gray
1687,edible,convex,scaly,brown
1688,edible,convex,fibrous,brown
1689,edible,convex,scaly,yellow
1690,edible,convex,fibrous,gray
1691,edible,flat,fibrous,gray
1692,edible,flat,smooth,brown
1693,edible,flat,smooth,white
1694,edible,convex,fibrous,gray
1695,edible,flat,smooth,white
1696,edible,flat,fibrous,gray
1697,edible,convex,fibrous,gray
1698,edible,convex,smooth,brown
1699,edible,convex,fibrous,brown
1700,edible,flat,smooth,white
1701,edible,flat,fibrous,brown
1702,poisonous,flat,scaly,brown
1703,edible,convex,fibrous,brown
1704,edible,convex,fibrous,brown
1705,edible,flat,fibrous,white
1706,poisonous,flat,scaly,brown
1707,edible,flat,fibrous,gray
1708,edible,convex,fibrous,gray
1709,edible,convex,fibrous,white
1710,edible,convex,fibrous,gray
1711,edible,convex,fibrous,brown
1712,edible,convex,smooth,gray
1713,edible,flat,fibrous,white
1714,edible,convex,fibrous,gray
1715,edible,convex,scaly,white
1716,edible,convex,scaly,white
1717,edible,flat,smooth,gray
1718,edible,flat,smooth,white
1719,edible,flat,smooth,brown
1720,edible,flat,smooth,white
1721,edible,convex,fibrous,brown
1722,edible,convex,smooth,brown
1723,edible,bell,scaly,yellow
1724,poisonous,flat,scaly,white
1725,edible,convex,smooth,brown
1726,edible,flat,smooth,brown
1727,edible,convex,scaly,brown
1728,edible,convex,smooth,gray
1729,edible,flat,smooth,white
1730,poisonous,convex,smooth,brown
1731,edible,flat,smooth,gray
1732,edible,convex,fibrous,white
1733,poisonous,flat,smooth,brown
1734,edible,convex,fibrous,brown
1735,edible,convex,smooth,brown
1736,edible,convex,fibrous,brown
1737,edible,flat,smooth,white
1738,poisonous,flat,smooth,white
1739,edible,convex,fibrous,white
1740,edible,flat,fibrous,brown
1741,edible,flat,smooth,gray
1742,edible,convex,fibrous,white
1743,edible,flat,scaly,brown
1744,poisonous,flat,smooth,white
1745,edible,convex,fibrous,white
1746,edible,flat,fibrous,brown
1747,poisonous,flat,scaly,brown
1748,edible,flat,smooth,white
1749,edible,convex,fibrous,gray
1750,edible,flat,scaly,yellow
1751,edible,convex,fibrous,white
1752,edible,convex,fibrous,white
1753,poisonous,flat,scaly,brown
1754,edible,flat,fibrous,brown
1755,edible,flat,fibrous,gray
1756,edible,convex,fibrous,brown
1757,edible,convex,fibrous,brown
1758,edible,convex,smooth,gray
1759,edible,convex,smooth,gray
1760,edible,convex,fibrous,white
1761,edible,flat,fibrous,gray
1762,edible,convex,fibrous,brown
1763,edible,convex,smooth,white
1764,poisonous,convex,smooth,white
1765,edible,flat,smooth,gray
1766,edible,convex,smooth,brown
1767,edible,convex,fibrous,brown
1768,edible,convex,scaly,yellow
1769,edible,convex,smooth,gray
1770,edible,convex,fibrous,brown
1771,edible,convex,fibrous,white
1772,edible,convex,scaly,yellow
1773,edible,convex,fibrous,brown
1774,edible,convex,fibrous,white
1775,edible,convex,fibrous,white
1776,poisonous,flat,smooth,brown
1777,poisonous,flat,smooth,white
1778,edible,convex,smooth,brown
1779,edible,convex,fibrous,gray
1780,edible,flat,smooth,brown
1781,edible,convex,smooth,white
1782,poisonous,flat,smooth,white
1783,edible,bell,smooth,yellow
1784,edible,convex,fibrous,brown
1785,poisonous,flat,scaly,brown
1786,edible,convex,smooth,gray
1787,edible,convex,smooth,gray
1788,edible,convex,smooth,white
1789,poisonous,flat,smooth,white
1790,edible,flat,smooth,white
1791,edible,convex,fibrous,brown
1792,edible,flat,fibrous,brown
1793,edible,convex,fibrous,brown
1794,poisonous,flat,scaly,brown
1795,edible,convex,fibrous,white
1796,edible,flat,smooth,white
1797,poisonous,flat,scaly,white
1798,edible,flat,smooth,gray
1799,edible,flat,scaly,brown
1800,edible,convex,fibrous,gray
1801,edible,convex,fibrous,gray
1802,edible,convex,scaly,brown
1803,edible,flat,fibrous,brown
1804,edible,flat,scaly,red
1805,edible,flat,smooth,gray
1806,edible,convex,fibrous,gray
1807,edible,convex,scaly,gray
1808,edible,convex,fibrous,gray
1809,poisonous,flat,smooth,brown
1810,edible,flat,fibrous,brown
1811,poisonous,convex,smooth,brown
1812,edible,convex,smooth,white
1813,edible,convex,smooth,white
1814,edible,convex,scaly,yellow
1815,poisonous,convex,fibrous,gray
1816,edible,flat,smooth,brown
1817,edible,flat,smooth,white
1818,edible,convex,fibrous,brown
1819,edible,flat,smooth,brown
1820,edible,convex,fibrous,brown
1821,poisonous,convex,smooth,white
1822,edible,flat,fibrous,brown
1823,edible,convex,scaly,white
1824,edible,flat,fibrous,gray
1825,edible,convex,scaly,red
1826,edible,flat,fibrous,white
1827,edible,convex,smooth,gray
1828,edible,convex,scaly,brown
1829,edible,convex,scaly,gray
1830,edible,convex,fibrous,gray
1831,edible,flat,smooth,white
1832,edible,convex,fibrous,gray
1833,edible,convex,fibrous,brown
1834,edible,convex,fibrous,red
1835,edible,convex,scaly,brown
1836,edible,flat,fibrous,white
1837,edible,convex,scaly,brown
1838,edible,convex,smooth,gray
1839,edible,convex,fibrous,gray
1840,edible,flat,fibrous,white
1841,edible,convex,scaly,gray
1842,poisonous,flat,scaly,brown
1843,edible,convex,scaly,red
1844,edible,flat,fibrous,white
1845,edible,flat,smooth,gray
1846,edible,convex,scaly,gray
1847,edible,flat,fibrous,gray
1848,edible,convex,fibrous,brown
1849,edible,flat,fibrous,red
1850,edible,convex,smooth,white
1851,edible,convex,fibrous,red
1852,edible,convex,fibrous,brown
1853,edible,convex,fibrous,gray
1854,edible,convex,fibrous,brown
1855,edible,convex,fibrous,yellow
1856,edible,convex,fibrous,red
1857,poisonous,flat,smooth,white
1858,edible,convex,smooth,white
1859,edible,convex,fibrous,red
1860,edible,convex,scaly,brown
1861,edible,convex,fibrous,white
1862,edible,convex,fibrous,gray
1863,edible,convex,smooth,gray
1864,edible,convex,scaly,red
1865,edible,convex,scaly,brown
1866,edible,convex,smooth,white
1867,edible,convex,smooth,brown
1868,edible,convex,smooth,white
1869,edible,convex,smooth,brown
1870,edible,flat,fibrous,red
1871,edible,flat,fibrous,white
1872,edible,flat,fibrous,gray
1873,edible,convex,scaly,red
1874,edible,convex,fibrous,red
1875,edible,convex,scaly,gray
1876,edible,convex,fibrous,red
1877,edible,flat,smooth,brown
1878,edible,convex,smooth,white
1879,edible,convex,smooth,white
1880,edible,convex,fibrous,white
1881,edible,convex,fibrous,red
1882,edible,convex,fibrous,brown
1883,edible,flat,fibrous,brown
1884,edible,flat,fibrous,white
1885,edible,flat,fibrous,white
1886,poisonous,flat,scaly,white
1887,edible,flat,fibrous,gray
1888,edible,convex,fibrous,brown
1889,edible,convex,smooth,white
1890,edible,convex,fibrous,white
1891,edible,convex,smooth,brown
1892,edible,convex,fibrous,brown
1893,edible,convex,smooth,gray
1894,edible,convex,scaly,brown
1895,edible,convex,fibrous,brown
1896,edible,flat,smooth,gray
1897,edible,flat,smooth,brown
1898,edible,convex,smooth,gray
1899,edible,flat,fibrous,gray
1900,edible,convex,smooth,white
1901,edible,flat,fibrous,brown
1902,edible,flat,smooth,white
1903,edible,convex,fibrous,gray
1904,edible,flat,fibrous,brown
1905,edible,flat,fibrous,brown
1906,edible,convex,fibrous,brown
1907,edible,flat,smooth,gray
1908,edible,flat,smooth,white
1909,edible,convex,scaly,red
1910,edible,convex,scaly,gray
1911,edible,convex,scaly,red
1912,edible,convex,fibrous,gray
1913,edible,flat,fibrous,gray
1914,edible,flat,scaly,yellow
1915,poisonous,flat,scaly,white
1916,edible,flat,smooth,brown
1917,edible,flat,fibrous,brown
1918,edible,flat,fibrous,brown
1919,edible,convex,fibrous,red
1920,edible,flat,fibrous,gray
1921,edible,convex,fibrous,brown
1922,edible,convex,fibrous,gray
1923,edible,convex,scaly,red
1924,edible,flat,fibrous,brown
1925,edible,convex,fibrous,brown
1926,edible,convex,fibrous,brown
1927,edible,flat,smooth,white
1928,edible,flat,smooth,gray
1929,poisonous,flat,scaly,white
1930,edible,bell,smooth,white
1931,edible,convex,fibrous,brown
1932,edible,flat,fibrous,gray
1933,edible,convex,fibrous,brown
1934,edible,convex,smooth,brown
1935,edible,flat,smooth,white
1936,edible,convex,fibrous,white
1937,edible,convex,smooth,white
1938,edible,convex,smooth,gray
1939,edible,convex,scaly,red
1940,edible,flat,fibrous,brown
1941,edible,convex,fibrous,brown
1942,edible,flat,fibrous,white
1943,edible,flat,smooth,brown
1944,poisonous,flat,smooth,white
1945,edible,flat,fibrous,brown
1946,edible,convex,scaly,gray
1947,edible,convex,scaly,gray
1948,edible,convex,fibrous,gray
1949,edible,convex,fibrous,gray
1950,edible,convex,scaly,red
1951,edible,convex,fibrous,gray
1952,edible,convex,fibrous,gray
1953,edible,convex,fibrous,brown
1954,poisonous,convex,smooth,white
1955,edible,convex,fibrous,brown
1956,edible,convex,scaly,brown
1957,edible,convex,fibrous,gray
1958,poisonous,flat,scaly,brown
1959,edible,convex,fibrous,gray
1960,edible,convex,fibrous,gray
1961,edible,convex,fibrous,red
1962,edible,flat,fibrous,brown
1963,edible,flat,smooth,white
1964,edible,flat,smooth,brown
1965,edible,convex,scaly,red
1966,edible,flat,smooth,brown
1967,edible,flat,fibrous,brown
1968,edible,flat,smooth,white
1969,edible,convex,fibrous,brown
1970,edible,flat,fibrous,brown
1971,poisonous,convex,smooth,brown
1972,edible,convex,fibrous,brown
1973,edible,flat,smooth,brown
1974,poisonous,flat,scaly,white
1975,edible,convex,fibrous,brown
1976,edible,convex,fibrous,gray
1977,edible,flat,fibrous,brown
1978,edible,convex,fibrous,red
1979,edible,flat,fibrous,white
1980,edible,convex,fibrous,white
1981,edible,convex,scaly,white
1982,edible,convex,smooth,white
1983,edible,convex,scaly,gray
1984,edible,convex,fibrous,gray
1985,edible,convex,smooth,gray
1986,poisonous,flat,scaly,white
1987,edible,convex,fibrous,red
1988,poisonous,flat,smooth,brown
1989,poisonous,flat,scaly,brown
1990,edible,convex,fibrous,gray
1991,edible,flat,smooth,brown
1992,edible,convex,fibrous,gray
1993,edible,convex,fibrous,brown
1994,edible,convex,fibrous,brown
1995,edible,flat,smooth,brown
1996,edible,flat,fibrous,brown
1997,edible,convex,smooth,brown
1998,edible,convex,smooth,brown
1999,edible,convex,fibrous,brown
2000,edible,convex,scaly,red
2001,edible,flat,smooth,brown
2002,edible,convex,fibrous,brown
2003,poisonous,flat,scaly,white
2004,edible,convex,scaly,yellow
2005,poisonous,flat,smooth,brown
2006,edible,flat,fibrous,white
2007,edible,flat,fibrous,brown
2008,poisonous,flat,smooth,brown
2009,edible,convex,smooth,brown
2010,edible,convex,fibrous,brown
2011,edible,convex,fibrous,red
2012,edible,flat,fibrous,brown
2013,edible,convex,fibrous,white
2014,edible,flat,smooth,gray
2015,edible,flat,fibrous,white
2016,edible,flat,smooth,yellow
2017,edible,flat,fibrous,white
2018,edible,flat,fibrous,brown
2019,edible,convex,fibrous,brown
2020,edible,convex,scaly,gray
2021,edible,convex,fibrous,brown
2022,edible,convex,fibrous,brown
2023,edible,convex,fibrous,gray
2024,edible,convex,fibrous,brown
2025,edible,convex,fibrous,gray
2026,edible,convex,fibrous,brown
2027,edible,convex,smooth,brown
2028,edible,bell,scaly,white
2029,edible,convex,scaly,red
2030,edible,flat,smooth,brown
2031,edible,convex,fibrous,red
2032,edible,flat,scaly,brown
2033,edible,convex,scaly,gray
2034,edible,convex,smooth,gray
2035,edible,convex,smooth,brown
2036,edible,convex,fibrous,gray
2037,edible,convex,smooth,gray
2038,edible,convex,scaly,red
2039,edible,flat,fibrous,gray
2040,edible,flat,fibrous,brown
2041,edible,convex,fibrous,brown
2042,edible,flat,smooth,brown
2043,edible,convex,fibrous,white
2044,edible,convex,scaly,yellow
2045,edible,convex,fibrous,red
2046,edible,convex,fibrous,brown
2047,edible,convex,scaly,brown
2048,edible,flat,fibrous,gray
2049,edible,convex,fibrous,white
2050,edible,convex,scaly,white
2051,edible,convex,smooth,brown
2052,edible,flat,smooth,white
2053,edible,flat,fibrous,brown
2054,edible,flat,fibrous,white
2055,edible,convex,fibrous,gray
2056,edible,convex,fibrous,brown
2057,edible,convex,fibrous,white
2058,edible,convex,smooth,white
2059,edible,flat,smooth,gray
2060,poisonous,flat,scaly,brown
2061,edible,flat,fibrous,gray
2062,edible,convex,fibrous,brown
2063,edible,convex,fibrous,white
2064,edible,convex,scaly,brown
2065,edible,convex,scaly,red
2066,poisonous,flat,smooth,brown
2067,edible,flat,smooth,gray
2068,edible,convex,fibrous,gray
2069,edible,flat,fibrous,gray
2070,edible,convex,fibrous,gray
2071,edible,convex,fibrous,gray
2072,edible,convex,fibrous,brown
2073,poisonous,convex,smooth,white
2074,edible,convex,smooth,yellow
2075,edible,convex,fibrous,brown
2076,edible,flat,scaly,brown
2077,edible,convex,smooth,gray
2078,edible,convex,scaly,red
2079,edible,convex,fibrous,gray
2080,edible,flat,smooth,white
2081,edible,convex,fibrous,brown
2082,edible,flat,fibrous,brown
2083,edible,flat,fibrous,gray
2084,edible,flat,fibrous,gray
2085,edible,flat,fibrous,brown
2086,edible,convex,fibrous,gray
2087,edible,convex,fibrous,red
2088,poisonous,flat,scaly,brown
2089,edible,convex,scaly,gray
2090,edible,convex,smooth,white
2091,edible,bell,smooth,white
2092,edible,convex,smooth,white
2093,edible,flat,fibrous,brown
2094,edible,convex,scaly,gray
2095,edible,flat,fibrous,gray
2096,edible,convex,fibrous,gray
2097,poisonous,convex,smooth,white
2098,edible,convex,smooth,brown
2099,edible,convex,scaly,gray
2100,edible,flat,fibrous,gray
2101,edible,convex,scaly,brown
2102,edible,convex,fibrous,red
2103,edible,flat,fibrous,brown
2104,edible,convex,fibrous,red
2105,edible,flat,fibrous,brown
2106,edible,convex,scaly,red
2107,edible,convex,fibrous,gray
2108,edible,flat,fibrous,gray
2109,edible,convex,fibrous,red
2110,edible,convex,scaly,red
2111,poisonous,convex,smooth,white
2112,edible,convex,fibrous,red
2113,edible,convex,scaly,gray
2114,edible,convex,fibrous,brown
2115,edible,convex,scaly,red
2116,edible,convex,scaly,gray
2117,edible,convex,fibrous,gray
2118,edible,convex,scaly,gray
2119,edible,convex,fibrous,red
2120,edible,flat,scaly,red
2121,edible,flat,fibrous,brown
2122,edible,convex,fibrous,brown
2123,edible,flat,scaly,gray
2124,edible,convex,scaly,red
2125,edible,convex,fibrous,gray
2126,edible,convex,scaly,gray
2127,poisonous,convex,fibrous,gray
2128,poisonous,flat,smooth,white
2129,edible,convex,fibrous,red
2130,edible,convex,fibrous,white
2131,edible,convex,scaly,brown
2132,edible,flat,fibrous,brown
2133,edible,convex,fibrous,brown
2134,edible,convex,scaly,gray
2135,edible,convex,scaly,gray
2136,edible,convex,fibrous,red
2137,edible,convex,scaly,brown
2138,edible,convex,fibrous,gray
2139,edible,convex,fibrous,red
2140,edible,convex,scaly,red
2141,edible,convex,scaly,brown
2142,edible,convex,scaly,red
2143,edible,flat,scaly,brown
2144,edible,flat,scaly,brown
2145,edible,convex,scaly,brown
2146,poisonous,flat,smooth,brown
2147,edible,flat,fibrous,red
2148,poisonous,convex,smooth,white
2149,edible,convex,fibrous,red
2150,edible,flat,fibrous,brown
2151,edible,convex,scaly,brown
2152,edible,flat,fibrous,red
2153,edible,convex,fibrous,red
2154,edible,convex,fibrous,gray
2155,edible,convex,scaly,brown
2156,edible,flat,fibrous,brown
2157,edible,flat,fibrous,brown
2158,edible,convex,fibrous,red
2159,edible,convex,fibrous,brown
2160,edible,convex,fibrous,red
2161,edible,flat,fibrous,gray
2162,edible,convex,scaly,brown
2163,edible,flat,fibrous,brown
2164,edible,convex,fibrous,red
2165,edible,convex,scaly,red
2166,edible,convex,fibrous,gray
2167,edible,convex,scaly,gray
2168,edible,convex,scaly,red
2169,edible,convex,scaly,gray
2170,edible,convex,fibrous,gray
2171,edible,flat,fibrous,gray
2172,edible,convex,scaly,gray
2173,edible,convex,scaly,red
2174,edible,flat,fibrous,brown
2175,edible,flat,fibrous,brown
2176,edible,convex,scaly,red
2177,poisonous,convex,fibrous,gray
2178,edible,convex,scaly,gray
2179,edible,convex,fibrous,red
2180,edible,convex,scaly,brown
2181,edible,flat,fibrous,brown
2182,edible,convex,scaly,red
2183,edible,flat,fibrous,brown
2184,edible,flat,scaly,brown
2185,edible,flat,fibrous,gray
2186,edible,convex,fibrous,red
2187,edible,convex,fibrous,gray
2188,edible,convex,fibrous,gray
2189,edible,convex,fibrous,brown
2190,edible,convex,fibrous,gray
2191,edible,convex,smooth,gray
2192,edible,convex,scaly,red
2193,edible,flat,fibrous,gray
2194,edible,convex,scaly,red
2195,edible,flat,fibrous,gray
2196,edible,convex,fibrous,gray
2197,edible,convex,fibrous,gray
2198,edible,flat,fibrous,gray
2199,edible,convex,smooth,white
2200,edible,convex,fibrous,brown
2201,edible,flat,fibrous,brown
2202,edible,flat,fibrous,gray
2203,edible,convex,scaly,gray
2204,edible,convex,fibrous,red
2205,edible,convex,scaly,red
2206,edible,convex,fibrous,brown
2207,edible,flat,scaly,gray
2208,edible,convex,scaly,gray
2209,poisonous,convex,smooth,pink
2210,edible,convex,scaly,brown
2211,edible,flat,fibrous,gray
2212,edible,convex,scaly,red
2213,edible,flat,fibrous,brown
2214,edible,convex,scaly,brown
2215,edible,convex,fibrous,gray
2216,edible,flat,fibrous,brown
2217,edible,convex,scaly,brown
2218,edible,convex,scaly,brown
2219,edible,convex,fibrous,red
2220,edible,flat,fibrous,gray
2221,edible,convex,scaly,red
2222,edible,convex,scaly,red
2223,edible,flat,fibrous,brown
2224,edible,convex,fibrous,red
2225,edible,convex,fibrous,red
2226,edible,convex,fibrous,white
2227,edible,convex,scaly,gray
2228,edible,convex,fibrous,red
2229,edible,convex,scaly,gray
2230,edible,convex,fibrous,red
2231,edible,convex,fibrous,gray
2232,edible,flat,scaly,red
2233,edible,flat,scaly,gray
2234,edible,convex,scaly,red
2235,edible,convex,scaly,gray
2236,edible,flat,fibrous,gray
2237,poisonous,convex,fibrous,gray
2238,edible,convex,fibrous,red
2239,edible,convex,scaly,red
2240,poisonous,flat,smooth,white
2241,edible,flat,scaly,brown
2242,edible,convex,fibrous,red
2243,edible,convex,scaly,red
2244,edible,convex,fibrous,gray
2245,edible,convex,scaly,gray
2246,edible,convex,fibrous,gray
2247,edible,convex,fibrous,brown
2248,edible,flat,fibrous,red
2249,edible,convex,scaly,gray
2250,edible,flat,fibrous,brown
2251,edible,flat,fibrous,gray
2252,edible,flat,fibrous,gray
2253,edible,convex,scaly,brown
2254,edible,flat,fibrous,gray
2255,edible,flat,scaly,brown
2256,edible,convex,fibrous,gray
2257,edible,convex,scaly,red
2258,edible,convex,scaly,brown
2259,edible,flat,smooth,gray
2260,edible,convex,fibrous,brown
2261,edible,flat,fibrous,brown
2262,edible,convex,scaly,red
2263,edible,convex,scaly,red
2264,edible,convex,scaly,brown
2265,edible,flat,smooth,white
2266,edible,convex,scaly,brown
2267,edible,convex,scaly,red
2268,edible,convex,fibrous,gray
2269,edible,flat,fibrous,gray
2270,edible,flat,fibrous,brown
2271,edible,flat,fibrous,gray
2272,edible,convex,scaly,red
2273,edible,flat,fibrous,gray
2274,edible,convex,scaly,brown
2275,edible,convex,fibrous,red
2276,edible,convex,fibrous,brown
2277,edible,convex,fibrous,gray
2278,edible,flat,fibrous,gray
2279,edible,convex,fibrous,brown
2280,edible,convex,scaly,brown
2281,edible,convex,fibrous,red
2282,edible,flat,fibrous,gray
2283,edible,convex,scaly,brown
2284,poisonous,convex,smooth,pink
2285,edible,flat,scaly,gray
2286,edible,flat,fibrous,brown
2287,poisonous,flat,smooth,brown
2288,edible,convex,scaly,brown
2289,edible,convex,scaly,gray
2290,edible,convex,scaly,red
2291,edible,convex,scaly,red
2292,edible,convex,scaly,red
2293,edible,convex,fibrous,gray
2294,edible,flat,smooth,white
2295,edible,convex,scaly,gray
2296,edible,convex,fibrous,brown
2297,edible,convex,fibrous,brown
2298,edible,convex,scaly,gray
2299,edible,convex,scaly,red
2300,edible,convex,scaly,brown
2301,edible,convex,fibrous,gray
2302,edible,convex,fibrous,gray
2303,edible,convex,scaly,gray
2304,edible,convex,scaly,gray
2305,edible,flat,scaly,gray
2306,edible,convex,fibrous,red
2307,edible,convex,scaly,red
2308,edible,convex,fibrous,brown
2309,edible,convex,fibrous,brown
2310,edible,flat,fibrous,brown
2311,edible,flat,fibrous,brown
2312,edible,convex,scaly,gray
2313,edible,convex,fibrous,red
2314,edible,flat,scaly,brown
2315,edible,convex,scaly,red
2316,edible,flat,scaly,brown
2317,edible,convex,scaly,gray
2318,edible,flat,fibrous,brown
2319,edible,convex,scaly,gray
2320,edible,convex,scaly,red
2321,edible,convex,scaly,brown
2322,edible,convex,fibrous,gray
2323,edible,convex,fibrous,red
2324,edible,convex,fibrous,brown
2325,edible,flat,fibrous,brown
2326,edible,flat,scaly,gray
2327,edible,convex,fibrous,brown
2328,edible,convex,scaly,red
2329,edible,flat,fibrous,brown
2330,edible,convex,scaly,brown
2331,edible,flat,fibrous,brown
2332,edible,convex,scaly,red
2333,edible,convex,scaly,red
2334,edible,convex,fibrous,gray
2335,edible,convex,fibrous,gray
2336,edible,flat,fibrous,red
2337,edible,convex,fibrous,brown
2338,edible,convex,scaly,red
2339,edible,convex,scaly,gray
2340,edible,convex,scaly,gray
2341,edible,convex,fibrous,red
2342,edible,flat,fibrous,brown
2343,edible,convex,scaly,brown
2344,edible,convex,scaly,gray
2345,edible,convex,fibrous,white
2346,edible,flat,scaly,gray
2347,edible,flat,smooth,gray
2348,edible,flat,fibrous,brown
2349,edible,convex,scaly,red
2350,poisonous,flat,scaly,white
2351,edible,convex,scaly,gray
2352,edible,flat,fibrous,brown
2353,edible,convex,fibrous,gray
2354,edible,convex,fibrous,red
2355,edible,flat,fibrous,gray
2356,edible,convex,scaly,brown
2357,edible,convex,scaly,red
2358,edible,convex,scaly,brown
2359,edible,convex,scaly,brown
2360,edible,flat,fibrous,brown
2361,edible,convex,scaly,gray
2362,edible,convex,scaly,brown
2363,edible,convex,fibrous,red
2364,edible,flat,fibrous,brown
2365,edible,convex,fibrous,red
2366,edible,flat,smooth,white
2367,edible,convex,scaly,brown
2368,edible,convex,fibrous,gray
2369,edible,convex,fibrous,brown
2370,edible,convex,fibrous,red
2371,edible,flat,fibrous,brown
2372,edible,convex,fibrous,brown
2373,edible,convex,scaly,brown
2374,poisonous,flat,smooth,white
2375,edible,convex,fibrous,gray
2376,edible,flat,smooth,white
2377,edible,convex,smooth,gray
2378,edible,convex,fibrous,gray
2379,edible,flat,fibrous,brown
2380,edible,convex,fibrous,red
2381,edible,convex,scaly,gray
2382,edible,flat,fibrous,brown
2383,edible,convex,fibrous,brown
2384,poisonous,convex,fibrous,gray
2385,edible,convex,scaly,red
2386,edible,convex,fibrous,brown
2387,poisonous,convex,smooth,white
2388,edible,convex,scaly,gray
2389,edible,flat,fibrous,brown
2390,edible,convex,fibrous,brown
2391,edible,convex,scaly,gray
2392,edible,convex,scaly,gray
2393,edible,flat,fibrous,brown
2394,edible,flat,fibrous,brown
2395,edible,convex,fibrous,gray
2396,edible,flat,fibrous,gray
2397,edible,convex,scaly,red
2398,edible,convex,fibrous,red
2399,poisonous,convex,smooth,white
2400,edible,flat,fibrous,gray
2401,edible,convex,fibrous,gray
2402,edible,flat,scaly,red
2403,edible,flat,scaly,gray
2404,edible,convex,scaly,brown
2405,edible,convex,scaly,red
2406,edible,convex,fibrous,red
2407,edible,convex,scaly,red
2408,edible,flat,fibrous,gray
2409,edible,convex,fibrous,gray
2410,edible,flat,fibrous,brown
2411,edible,convex,scaly,brown
2412,edible,convex,scaly,gray
2413,edible,convex,fibrous,gray
2414,edible,convex,scaly,brown
2415,edible,flat,fibrous,brown
2416,edible,convex,scaly,brown
2417,edible,convex,scaly,brown
2418,edible,flat,fibrous,brown
2419,edible,convex,fibrous,brown
2420,edible,convex,fibrous,brown
2421,edible,convex,scaly,brown
2422,edible,flat,fibrous,gray
2423,edible,convex,fibrous,red
2424,edible,flat,fibrous,brown
2425,poisonous,convex,smooth,pink
2426,edible,convex,fibrous,red
2427,edible,flat,fibrous,brown
2428,edible,convex,fibrous,brown
2429,edible,flat,fibrous,red
2430,edible,convex,scaly,red
2431,edible,convex,fibrous,gray
2432,edible,convex,fibrous,gray
2433,edible,convex,fibrous,gray
2434,edible,convex,fibrous,gray
2435,edible,flat,fibrous,gray
2436,edible,convex,fibrous,red
2437,edible,flat,scaly,brown
2438,edible,flat,scaly,red
2439,edible,convex,scaly,gray
2440,edible,convex,scaly,gray
2441,edible,convex,fibrous,gray
2442,poisonous,convex,fibrous,gray
2443,edible,convex,scaly,brown
2444,edible,convex,scaly,red
2445,edible,convex,fibrous,brown
2446,edible,flat,fibrous,brown
2447,edible,flat,fibrous,brown
2448,edible,flat,fibrous,gray
2449,edible,flat,fibrous,gray
2450,edible,convex,scaly,gray
2451,edible,convex,fibrous,gray
2452,edible,convex,scaly,gray
2453,edible,convex,fibrous,red
2454,edible,flat,fibrous,brown
2455,edible,convex,scaly,red
2456,edible,convex,fibrous,gray
2457,edible,convex,fibrous,brown
2458,edible,convex,scaly,red
2459,edible,convex,fibrous,brown
2460,edible,flat,fibrous,gray
